Framework,"Maintainability
 Index","Cyclomatic 
Complexity","Lines of Written
 Code",Test Case,added lines,deleted lines,,
Pure xUnit,78,1,6,1,79,0,79,
Pure xUnit,77,2,17,2,24,3,27,
Pure xUnit,73,3,26,3,14,3,17,
Pure xUnit,72,4,35,4,21,8,29,
Pure xUnit,76,5,37,5,5,0,5,Refactoring of Basket
Pure xUnit,68,2,21,6,28,46,74,Test refactoring
Pure xUnit,70,3,28,7,8,1,9,Adding Discount
Pure xUnit,66,3,33,8,10,4,14,Parameterizing Discount
Pure xUnit,66,4,51,9,26,5,31,
,,,,,,,285,
,,,,,,,,
,,,,,,,,
Gherkin,85,4,16,1,210,0,,
Gherkin,84,5,24,2,79,13,,
Gherkin,84,6,19,3,84,5,,Refctoring of basket
Gherkin,84,6,29,4,85,0,,
Gherkin,84,6,29,5,0,0,,No changes as refactoring was earlier performed
Gherkin,84,6,29,6,58,163,,Test refactoring
Gherkin,83,7,35,7,70,13,,Adding Discount
GHerkin,83,7,36,8,,,,Parameterizing Discount
